ip,port,status,date_time
192.168.137.1,53768,Closed,2024-05-18 18:46:44.853475
192.168.137.1,53769,Logged in,2024-05-18 18:46:55.256526
192.168.137.1,53988,Aborted,2024-05-18 19:38:50.101347
192.168.137.1,53988,Closed,2024-05-18 19:38:50.102502
192.168.137.1,53990,Logged in,2024-05-18 19:38:56.504932
192.168.137.1,53990,Closed,2024-05-18 19:49:50.085187
192.168.137.1,54012,Logged in,2024-05-18 19:50:08.659937
192.168.137.1,54012,Closed,2024-05-18 19:52:53.350012
192.168.137.1,54020,Logged in,2024-05-18 19:52:59.019659
192.168.137.1,54056,Logged in,2024-05-18 19:54:49.049430
192.168.137.1,54068,Logged in,2024-05-18 20:04:14.429199
192.168.137.1,54069,Logged in,2024-05-18 20:04:42.983098
192.168.137.1,54069,Closed,2024-05-18 20:05:24.467214
192.168.137.1,54329,Logged in,2024-05-18 22:35:21.075872
192.168.137.1,54335,Logged in,2024-05-18 22:38:59.670350
192.168.137.1,54335,Closed,2024-05-18 22:45:29.959387
192.168.137.1,54395,Logged in,2024-05-18 22:48:40.585985
192.168.137.1,54395,Closed,2024-05-18 22:49:17.038844
192.168.137.1,54549,Logged in,2024-05-18 23:10:28.896667
192.168.137.1,54647,Logged in,2024-05-18 23:32:57.186809
192.168.137.1,54706,Logged in,2024-05-18 23:41:51.612976
192.168.137.1,54706,Closed,2024-05-18 23:42:16.588453
192.168.137.1,54750,Logged in,2024-05-19 08:18:04.011046
192.168.137.1,54752,Logged in,2024-05-19 08:20:10.377516
192.168.137.1,54751,Logged in,2024-05-19 08:20:18.251589
192.168.137.1,54963,Logged in,2024-05-19 08:47:31.506980
192.168.137.1,54964,Logged in,2024-05-19 08:48:25.036012
192.168.137.1,54964,Closed,2024-05-19 08:48:49.556181
192.168.137.1,55053,Logged in,2024-05-19 09:12:30.347929
192.168.137.1,55162,Logged in,2024-05-19 09:29:41.965676
192.168.137.1,55163,Logged in,2024-05-19 09:30:41.038325
192.168.137.1,55165,Logged in,2024-05-19 09:36:51.799469
192.168.137.1,55167,Logged in,2024-05-19 09:38:42.810688
192.168.137.1,55231,Logged in,2024-05-19 09:45:31.692339
192.168.137.1,55232,Logged in,2024-05-19 09:46:03.082478
192.168.137.1,55232,Closed,2024-05-19 09:47:13.902362
192.168.137.1,55233,Logged in,2024-05-19 09:47:32.834903
192.168.137.1,55233,Closed,2024-05-19 09:49:18.178223
192.168.137.1,55239,Logged in,2024-05-19 09:49:30.321575
192.168.137.1,55299,Logged in,2024-05-19 09:52:14.972964
127.0.0.1,55825,Logged in,2024-05-19 10:31:45.459029
127.0.0.1,55802,Logged in,2024-05-19 10:31:50.881322
127.0.0.1,55802,Closed,2024-05-19 10:32:28.922995
127.0.0.1,55827,Logged in,2024-05-19 10:33:08.502411
127.0.0.1,55828,Logged in,2024-05-19 10:33:30.421336
127.0.0.1,55828,Closed,2024-05-19 10:34:51.472669
192.168.137.1,55914,Logged in,2024-05-19 10:45:54.738577
192.168.137.1,55913,Logged in,2024-05-19 10:46:04.060121
192.168.137.1,55913,Closed,2024-05-19 10:46:33.091787
192.168.137.1,55918,Logged in,2024-05-19 10:46:54.710583
192.168.137.1,55918,Closed,2024-05-19 10:47:05.932000
192.168.137.1,55914,Closed,2024-05-19 10:47:14.331655
192.168.137.1,55926,Logged in,2024-05-19 10:49:28.322761
192.168.137.1,55927,Logged in,2024-05-19 10:49:59.805000
192.168.137.1,55927,Closed,2024-05-19 10:59:57.764120
192.168.137.1,55956,Logged in,2024-05-19 11:01:19.204605
192.168.137.1,55955,Logged in,2024-05-19 11:01:25.282005
192.168.137.1,55981,Logged in,2024-05-19 11:10:33.877659
192.168.137.1,55980,Logged in,2024-05-19 11:10:37.055483
192.168.137.1,55980,Closed,2024-05-19 11:10:45.279404
192.168.137.1,55981,Closed,2024-05-19 11:10:57.462577
192.168.137.1,56128,Logged in,2024-05-19 11:38:37.690368
192.168.137.1,56129,Logged in,2024-05-19 11:39:11.095593
192.168.137.1,56129,Aborted,2024-05-19 11:39:59.835980
192.168.137.1,56129,Closed,2024-05-19 11:39:59.837021
192.168.137.1,56130,Logged in,2024-05-19 11:40:04.534638
192.168.137.1,56135,Logged in,2024-05-19 11:44:37.479308
192.168.137.1,56133,Logged in,2024-05-19 11:44:52.180275
192.168.137.1,56135,Closed,2024-05-19 11:46:36.156274
192.168.137.1,56133,Closed,2024-05-19 11:46:36.166271
